"date","favorites","id","isRetweet","retweets","text"
"1461903849000","25571","725903475133947904","False","8209","Thank you Costa Mesa, California! 31,000 people tonight with thousands turned away. I will be back! #Trump2016 https://t.co/4P0tzvZn0e"
"1461902914000","9603","725899554273423360","False","3475","New York Yankees President, Randy Levine: 'End of the Republican Party' If Donald Trump Not Nominated.  \nhttps://t.co/HEXBZeejBc"
"1461890456000","11346","725847301172776960","False","3206","I will be interviewed on @foxandfriends with the legendary Coach Bobby Knight- tomorrow morning. Enjoy! #INDPrimary https://t.co/c9WVhfyMzs"
"1461890112000","0","725845855987617792","True","4387","RT @newtgingrich: Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.…"
"1461889942000","0","725845144637837312","True","1778","RT @AdrianaCohen16: Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru…"
"1461885118000","9941","725824909151199232","False","3672","#MakeAmericaGreatAgain #Trump2016 https://t.co/ZHM5w7jnss"
"1461883281000","9715","725817204743217152","False","3511","#MakeAmericaGreatAgain https://t.co/53qHBKs7yA"
"1461878306000","10531","725796339255267328","False","3657","Thank you Evansville, Indiana! \n#MakeAmericaGreatAgain https://t.co/Fn8ClNjUtr"
"1461860589000","11478","725722027173249024","False","3764","Heading to rally with Bobby now! See you soon!\nhttps://t.co/dWSSOEctZn"
"1461849954000","13400","725677423195512833","False","4455","So many false and phony T.V. commercials being broadcast in Indiana. Reminds me of Florida where thousands were put up-I won in a landslide!"
"1461845677000","10192","725659482819297280","False","3049","I will be in Evansville, Indiana, with the great Bobby Knight (who last night endorsed me) at 12:00 this afternoon. See you there!"
"1461843108000","15239","725648706385633280","False","4580","Lyin' Ted Cruz, who can never beat Hillary Clinton and has NO path to victory, has chosen a V.P.candidate who failed badly in her own effort"
"1461840426000","6079","725637460504510464","False","1221","I will be interviewed on the @TODAYshow at 7:00 A.M. this morning. Enjoy!"
"1461840095000","13737","725636069010579457","False","3675","Thank you to all for the wonderful reviews of my foreign policy speech. I will soon be speaking in great detail on numerous other topics!"
"1461816076000","9060","725535327927042048","False","2128","""@AnnetteJeanne: I cried when they said you made a clean sweep of all 5 states. I was SO HAPPY! I really adore you Mr. Trump, so much."""
"1461815392000","13782","725532457756405760","False","3568","Getting the strong endorsement of the great coach, Bobby Knight, has been a highlight of my stay in Indiana. Big speech tomorrow with Bobby!"
"1461813437000","18117","725524257883697152","False","4506","I am in Indiana where we just had a great rally. Fantastic people! Staying at a Holiday Inn Express - new and clean, not bad!"
"1461808205000","8729","725502314736422918","False","2828","Thank you Laura!  https://t.co/C1GHUJazn0"
"1461808059000","13034","725501700933586946","False","4483","Thank you for the endorsement, Coach Bobby Knight! I will never forget it!\nhttps://t.co/FchYdKY4F8 https://t.co/MpRtRwv51u"
"1461795291000","6807","725448150547349504","False","2020","Join me on @greta- from Indianapolis, Indiana at 7pmE! Enjoy! #Trump2016 \nhttps://t.co/gTyn8GLGil"
"1461794771000","0","725445969496694785","True","3922","RT @DonaldJTrumpJr: An Honor to be in #Indiana w @realDonaldTrump @greta &amp; the legend, Bobby Knight! I like our secret weapon better!!! htt…"
"1461788545000","12417","725419855265026048","False","3800","THANK YOU Connecticut, Delaware, Maryland, Pennsylvania, and Rhode Island! #MakeAmericaGreatAgain https://t.co/MGKh77wQt8"
"1461783068000","15932","725396879723384832","False","7418","Agreed! https://t.co/biyldP3CIw"
"1461782137000","11221","725392976525037570","False","3908","Thank you Newt! https://t.co/FOh7qEnKUF"
"1461779868000","0","725383459284353025","True","4082","RT @AnnCoulter: GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS."
"1461779195000","7286","725380639269228544","False","2013","Thanks Dave! https://t.co/NaPPQNjVi2"
"1461779058000","7142","725380064272105472","False","1970","Thanks! https://t.co/5jiSyvQiNj"
"1461778707000","8884","725378591567941632","False","2826","Thank you! WE will MAKE AMERICA GREAT AGAIN! https://t.co/aKxoD24IN9"
"1461778519000","6387","725377800954220545","False","1796","Thank you! https://t.co/aYbOob1kiT"
"1461718967000","13999","725128021473132546","False","4217","Thank you Delaware! #Trump2016 https://t.co/FeXThmUWuo"
"1461716911000","14978","725119398881665026","False","4560","Thank you Rhode Island! #Trump2016 https://t.co/EzCvm7yc0Y"
"1461716337000","14953","725116992907259904","False","4732","Thank you Connecticut! #Trump2016 https://t.co/3GGoVXSZSf"
"1461716059000","17646","725115824206450688","False","6487","Thank you Pennsylvania! #Trump2016 https://t.co/mucxspuHnV"
"1461715700000","15174","725114320993017858","False","5410","Thank you Maryland! #Trump2016 https://t.co/hH3h6bRMIs"
"1461700515000","16759","725050631250173952","False","6095","Thank you America! #Trump2016 https://t.co/KL7VZbM1jP"
"1461694335000","7036","725024710086524929","False","2245","Lets #MakeAmericaGreatAgain, Maryland! #VoteTrump \nhttps://t.co/ZttNAmk1QS"
"1461694326000","5958","725024671293423616","False","1912","You have until 8pm to #VoteTrump, Delaware! https://t.co/GYeV6m1qOn"
"1461693925000","6549","725022988026925058","False","1947","Thank you for a great day yesterday, Rhode Island! #VoteTrump\nhttps://t.co/nAlgNIIdyo"
"1461693819000","5830","725022546328969216","False","1864","Six hours left to #VoteTrump Connecticut! https://t.co/U1kbLMwhNI"
"1461693730000","6857","725022169806327808","False","2263","Lets go Pennsylvania! #VoteTrump \nhttps://t.co/TWQM8AV9p4"
"1461692595000","8004","725017409132855296","False","2220","How bad is the New York Times—the most inaccurate coverage constantly. Always trying to belittle. Paper has lost its way!"
"1461687498000","10541","724996031033806849","False","3436","Thank you for the incredible support- Melania, Barron, Ivanka, Jared, Tiffany, Don, Vanessa, Eric, and Lara!\nhttps://t.co/mPGpPFiDl8"
"1461686855000","24479","724993336000532480","False","9165","Bernie Sanders has been treated terribly by the Democrats—both with delegates &amp; otherwise. He should show them, and run as an Independent!"
"1461677604000","8474","724954532522917888","False","3421","Thank you @DonaldJTrumpJr &amp; @EricTrump. #Trump2016 \nhttps://t.co/CMfcrZjHgM"
"1461674844000","8576","724942956306771968","False","3288","MAKE AMERICA GREAT AGAIN!\nhttps://t.co/xhwhJuV3aa https://t.co/2XWN52IpH2"
"1461667359000","13793","724911563405189121","False","4272","The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!"
"1461635536000","10666","724778089830580224","False","3928","Thank you Wilkes-Barre, Pennsylvania! \n#MakeAmericaGreatAgain #Trump2016 \nhttps://t.co/FJbNlidwJF"
"1461634088000","8975","724772013219405824","False","3841","Get out and VOTE tomorrow! We will MAKE AMERICA GREAT AGAIN! \n#CTPrimary #DEPrimary #MDPrimary #PAPrimary #RIPrimary\nhttps://t.co/ndi8sZI1Gt"
"1461622266000","16318","724722427297673217","False","6246","Passing what was once a vibrant manufacturing area in Pennsylvania. So sad! #MakeAmericaGreatAgain https://t.co/RYWjgPh9Ja"
"1461621986000","7577","724721256969441280","False","2578","Thank you West Chester, Pennsylvania!\n#PAPrimary #VoteTrump\nhttps://t.co/Qva1QtmhpS https://t.co/CF9SYBqka7"
"1461621295000","6796","724718355102478336","False","2224","Thank you Warwick, Rhode Island!\n#RIPrimary #VoteTrump \nhttps://t.co/V0d4CuS1xf https://t.co/GU3p28VMe0"
"1461600987000","9761","724633177692725254","False","2790","On the way to the great state of Rhode Island- big rally. Then to Pennsylvania for rest of day and night!"
"1461600958000","11395","724633058398375936","False","3958","Kasich just announced that he wants the people of Indiana to vote for him. Typical politician - can't make a deal work."
"1461585546000","15094","724568416338759680","False","5620","Shows how weak and desperate Lyin' Ted is when he has to team up with a guy who openly can't stand him and is only 1 win and 38 losses."
"1461585261000","17208","724567219062059008","False","6295","Lyin' Ted Cruz and 1 for 38 Kasich are unable to beat me on their own so they have to team up (collusion) in a two on one. Shows weakness!"
"1461564668000","0","724662038220423168","True","2497","RT @DRUDGE_REPORT: DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj"
"1461556157000","18486","724445148910915584","False","6387","Lyin' Ted and Kasich are mathematically dead and totally desperate. Their donors &amp; special interest groups are not happy with them. Sad!"
"1461555598000","23593","724442801933565952","False","9419","Wow, just announced that Lyin' Ted and Kasich are going to collude in order to keep me from getting the Republican nomination. DESPERATION!"
"1461547632000","11781","724409389570994176","False","3640","I am happy to hear how badly the @nytimes is doing. It is a seriously failing paper with readership which is way down. Becoming irrelevant!"
"1461506743000","8722","724237889886904320","False","3025","""@DiamondandSilk: .@DonaldJTrumpJr awesome job on @CNNSotu. DonaldTrump has integrity &amp; he refuses 2 play the game call ""Delegate Bribery"""
"1461506628000","9135","724237406837334016","False","3703","""@newtgingrich: #NYPrimary turned Trump from frontrunner into presumptive #GOP nominee https://t.co/oLC7mGgnZ9 https://t.co/iNolBfFFRF"""
"1461506497000","9885","724236857777762304","False","2866","I will be in Maryland this afternoon for a major rally. Things are looking good for Tuesday!"
"1461506333000","5126","724236172181049344","False","1332",".@AndreBauer  Great job and advice on @CNN  @jaketapper  Thank you!"
"1461463285000","7162","724055614498955265","False","2074",".@Borisep was great on @JudgeJeanine tonight. Very smart commentary that will prove to be correct!"
"1461462497000","13062","724052308661772288","False","3752","As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!"
"1461462117000","9290","724050713953861632","False","2410","I had a great day campaigning in Connecticut. Looking for a big vote on Tuesday!"
"1461459343000","11628","724039081420808192","False","3361","Congratulations to @seanhannity on his great ratings and ratings increase as reported by the @AP today. Amazing job!"
"1461443390000","12435","723972167893966848","False","3573","Lynne Ryan -- just read your great story in the NY Times -- I am proud of you. Thanks! https://t.co/zVmhYsd4ir"
"1461439858000","7489","723957355495473152","False","2641","Thank you Delaware! #Trump2016 \n#MakeAmericaGreatAgain #TrumpTrain\nhttps://t.co/qLXTzQPbEj https://t.co/ofhbM9bcOI"
"1461439638000","6484","723956432991850498","False","1987","Thank you Bridgeport, Connecticut!\n#MakeAmericaGreatAgain #Trump2016\nhttps://t.co/GCtTKnNq06 https://t.co/qcuDCyBzCN"
"1461438283000","2898","723950747109363712","False","2416","The Establishment and special interests are absolutely killing our country. Stop them now: https://t.co/cLUCrZ2hde\nhttps://t.co/zUmuW5WPrk"
"1461427815000","7414","723906843865698306","False","2210","Thank you Waterbury, Connecticut!\n#MakeAmericaGreatAgain #Trump2016\nhttps://t.co/5eZ5nVQbE9 https://t.co/OoQAAKWUUq"
"1461422689000","7231","723885342743494659","False","2679","#MakeAmericaGreatAgain\nVideo: https://t.co/Dsa2v9X3ol https://t.co/aGUHmO98Xm"
"1461419910000","13261","723873688001589249","False","6321","Pennsylvania: Cast your vote for Trump for POTUS &amp; ALSO vote for the TRUMP DELEGATES in your congressional district! https://t.co/1utaLLMfUa"
"1461415036000","10837","723853244238278656","False","3464","Will be spending the day campaigning in Connecticut, another state where jobs are being stolen by other countries. I will stop this fast!"
"1461374278000","9113","723682291843780608","False","3172","Thank you Pennsylvania! #Trump2016\nhttps://t.co/Y3UBsxBQmg https://t.co/ie23QdsVTe"
"1461369787000","10410","723663455748763649","False","3494","Thank you Indiana! Was great seeing everyone on Wednesday! I will be back soon! #Trump2016\nhttps://t.co/mWfLxYKPbk https://t.co/62DKEm5XVm"
