"date","favorites","id","isRetweet","retweets","text"
"1483136298000","68808","814958820980039681","False","18248","Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!"
"1483127215000","20565","814920722208296960","False","5834","Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.... https://t.co/9WJZ8iTCQV"
"1483126893000","78951","814919370711461890","False","27645","Great move on delay (by V. Putin) - I always knew he was very smart!"
"1483023261000","37533","814484710025994241","False","8972","My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy"
"1482962788000","42681","814231064847728640","False","11050","'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ"
"1482935111000","98134","814114980983427073","False","27510","not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!"
"1482934786000","89169","814113616110751744","False","24089","We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but......."
"1482934033000","97432","814110460761018368","False","25115","Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!"
"1482894607000","64764","813945096269860866","False","15050","The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!"
"1482875549000","82767","813865160163098628","False","18296","President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!"
"1482808019000","56140","813581917215977473","False","12431","The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!"
"1482807200000","59317","813578484572450816","False","13907","I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!"
"1482795148000","106600","813527932165558273","False","23695","The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!"
"1482788518000","64175","813500123053490176","False","17714","The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!"
"1482788188000","75160","813498739923054593","False","17462","President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc."
"1482688128000","177800","813079058896535552","False","39433","Merry Christmas and a very, very, very , very Happy New Year to everyone!"
"1482670001000","126622","813003030186622976","False","33257","#MerryChristmas https://t.co/5GgDmJrGMS"
"1482668468000","5871","812815404175421445","False","1482",""".@FoxNews - """"Objectified"""" tonight at 10:00 P.M. Enjoy!"""
"1482615872000","69622","812775995837218816","False","17211","Happy #Hanukkah https://t.co/UvZwtykV1E"
